1950	8.29	3.23	2.65	5.02	2.90	2.28	4.74	3.16	2.09	2.06	5.40	3.14	44.96
1951	4.50	2.82	4.86	3.00	3.18	4.43	0.99	0.58	3.00	1.36	4.42	5.07	38.21
1952	5.99	2.31	3.95	4.07	4.33	2.75	3.01	1.87	2.49	0.81	1.09	3.30	35.97
1953	4.83	1.41	1.49	2.32	3.05	1.79	4.89	2.62	2.12	0.59	1.43	1.88	28.42
1954	2.92	1.78	2.82	3.77	2.56	3.27	3.26	5.18	0.74	5.24	1.08	1.69	34.31
1955	1.44	3.73	3.63	2.09	3.56	2.63	4.77	2.38	2.69	1.95	3.38	0.46	32.71
1956	2.13	4.33	3.49	4.06	4.85	3.22	4.92	2.23	1.37	1.15	0.97	3.21	35.93
1957	1.94	1.87	1.61	5.70	5.41	5.20	2.98	0.89	2.99	1.27	3.23	4.68	37.77
1958	1.87	0.82	1.50	4.09	3.54	9.75	9.46	2.81	3.01	1.27	1.56	0.69	40.37
1959	7.44	3.08	1.45	3.60	4.15	1.55	3.23	1.55	1.55	3.33	3.71	2.27	36.91
1960	2.31	2.57	1.11	1.60	5.82	2.47	4.54	2.48	0.83	2.55	1.60	1.62	29.50
1961	0.65	2.90	4.83	4.58	2.90	3.49	4.61	2.73	1.05	1.18	3.49	2.42	34.83
1962	3.17	3.46	2.43	1.33	2.31	2.26	3.59	2.31	3.62	2.06	2.94	1.76	31.24
1963	1.39	1.01	7.14	3.27	1.61	1.25	2.90	3.67	0.51	0.11	0.80	0.85	24.51
1964	1.82	1.68	9.59	6.36	1.95	5.71	2.97	3.19	1.66	0.38	1.81	4.09	41.21
1965	2.70	3.76	2.90	5.90	4.00	2.42	3.76	4.62	6.18	3.98	1.19	1.24	42.65
1966	2.87	2.59	1.04	4.89	3.13	1.28	5.91	4.90	3.56	0.79	4.05	3.33	38.34
1967	0.78	2.46	4.40	3.29	4.59	2.92	4.22	1.51	2.63	1.39	3.22	2.55	33.96
1968	2.22	0.38	3.01	2.20	9.11	2.96	2.80	3.08	1.77	2.59	4.26	3.40	37.78
1969	3.40	1.17	1.32	3.10	3.04	8.19	7.65	3.25	1.40	1.52	3.87	2.30	40.21
1970	1.60	1.68	3.04	5.52	5.37	5.65	3.73	3.94	3.95	2.07	2.88	2.50	41.93
1971	1.57	3.16	2.70	0.67	3.66	4.16	4.22	2.81	3.08	1.32	1.73	4.61	33.69
1972	1.40	1.74	2.86	3.74	6.56	3.98	2.60	7.96	5.13	1.74	4.40	3.49	45.60
1973	2.46	1.29	3.43	3.72	3.36	8.77	4.07	4.97	2.82	3.29	5.37	2.70	46.25
1974	2.40	2.30	4.38	2.66	3.29	5.04	1.14	4.88	3.32	1.51	3.39	2.68	36.99
1975	3.21	3.47	4.10	2.71	3.17	3.53	2.04	4.51	5.46	2.29	1.54	3.01	39.04
1976	3.15	2.03	2.17	1.44	1.41	4.52	5.12	5.08	2.54	2.86	0.60	0.93	31.85
1977	1.57	1.02	3.88	4.04	0.95	4.02	2.52	4.76	3.48	2.57	3.77	3.54	36.12
1978	5.89	0.29	2.98	3.02	4.15	3.65	1.81	5.23	1.16	2.39	1.56	5.01	37.14
